เลขอ้างอิงระบบ,เลขหมาย,ผู้ต้องหา,เลขสำนวน,สถานะ,อัปเดตล่าสุด
"AW-2569-000001","คขม-0001/2569","นาย ก.","ปปท.1/142/2569","ยังไม่มีเหตุ","2026-08-01T09:00:00+07:00"
"AW-2569-000002","คขม-0002/2569","นาง ข.","ปปท.1/122/2569","ยังไม่มีเหตุ","2026-08-02T09:00:00+07:00"
"AW-2569-000003","คขม-0003/2569","นาย ค.","ปปท.1/123/2569","ยังไม่มีเหตุ","2026-08-03T09:00:00+07:00"
"AW-2569-000004","คขม-0004/2569","นาง ง.","ปปท.1/124/2569","ยังไม่มีเหตุ","2026-08-04T09:00:00+07:00"
"AW-2569-000005","มจ.105/2569","นาย จ.","ปปท.1/125/2569","ยังไม่มีเหตุ","2026-08-04T09:00:00+07:00"
"AW-2569-000006","มจ.106/2569","นาง ฉ.","ปปท.1/126/2569","ยังไม่มีเหตุ","2026-08-04T09:00:00+07:00"
"AW-2569-000007","มจ.107/2569","นาย ช.","ปปท.1/127/2569","ยังไม่มีเหตุ","2026-08-04T09:00:00+07:00"
"AW-2569-000008","มจ.108/2569","นาง ซ.","ปปท.1/128/2569","ยังไม่มีเหตุ","2026-08-04T09:00:00+07:00"
"AW-2569-000009","มจ.109/2568","นาย ฌ.","ปปท.1/129/2569","ยังไม่มีเหตุ","2026-08-04T09:00:00+07:00"
"AW-2569-000010","มจ.110/2568","นาง ญ.","ปปท.1/130/2569","ตรวจเหตุและหลักฐาน","2026-08-04T09:00:00+07:00"
"AW-2569-000011","มจ.111/2568","นาย ฎ.","ปปท.1/131/2569","อนุมัติภายใน","2026-08-04T09:00:00+07:00"
"AW-2569-000012","มจ.112/2567","นาง ฏ.","ปปท.1/132/2569","ศาลถอนหมายแล้ว","2026-08-04T09:00:00+07:00"
"AW-2569-000013","มจ.113/2568","นาย ฐ.","ปปท.1/133/2569","ยังไม่มีเหตุ","2026-08-04T09:00:00+07:00"
"AW-2569-000014","มจ.114/2568","นาง ฑ.","ปปท.1/134/2569","ยังไม่มีเหตุ","2026-08-04T09:00:00+07:00"
"AW-2569-000015","มจ.115/2569","นาย ก.","ปปท.1/135/2569","ยังไม่มีเหตุ","2026-08-04T09:00:00+07:00"
"AW-2569-000016","มจ.116/2568","นาง ข.","ปปท.1/136/2569","ยังไม่มีเหตุ","2026-08-04T09:00:00+07:00"
